iter	Passed	Remaining
746	4154	1407
747	4159	1401
748	4164	1395
749	4169	1389
750	4174	1384
751	4180	1378
752	4185	1373
753	4191	1367
754	4196	1361
755	4201	1356
756	4206	1350
757	4211	1344
758	4217	1339
759	4222	1333
760	4228	1327
761	4233	1322
762	4238	1316
763	4244	1311
764	4249	1305
765	4255	1299
766	4261	1294
767	4266	1288
768	4273	1283
769	4281	1278
770	4286	1273
771	4294	1268
772	4299	1262
773	4303	1256
774	4309	1251
775	4315	1245
776	4321	1240
777	4326	1234
778	4331	1228
779	4336	1223
780	4342	1217
781	4347	1211
782	4353	1206
783	4359	1201
784	4364	1195
785	4369	1189
786	4374	1183
787	4378	1178
788	4383	1172
789	4389	1166
790	4394	1161
791	4400	1155
792	4405	1149
793	4409	1144
794	4415	1138
795	4421	1133
796	4426	1127
797	4432	1121
798	4437	1116
799	4442	1110
800	4448	1105
801	4453	1099
802	4459	1094
803	4465	1088
804	4471	1083
805	4477	1077
806	4484	1072
807	4489	1066
808	4495	1061
809	4501	1055
810	4506	1050
811	4512	1044
812	4517	1039
813	4522	1033
814	4528	1027
815	4533	1022
816	4538	1016
817	4544	1011
818	4551	1005
819	4558	1000
820	4565	995
821	4572	990
822	4578	984
823	4585	979
824	4591	974
825	4596	968
826	4602	962
827	4606	956
828	4611	951
829	4616	945
830	4621	939
831	4625	934
832	4630	928
833	4636	922
834	4640	917
835	4645	911
836	4651	905
837	4657	900
838	4665	895
839	4671	889
840	4676	884
841	4680	878
842	4685	872
843	4690	866
844	4695	861
845	4700	855
846	4705	849
847	4710	844
848	4715	838
849	4719	832
850	4724	827
851	4729	821
852	4734	815
853	4738	810
854	4743	804
855	4747	798
856	4751	792
857	4756	787
858	4761	781
859	4765	775
860	4769	769
861	4774	764
862	4779	758
863	4783	752
864	4787	747
865	4792	741
866	4797	735
867	4801	730
868	4806	724
869	4810	718
870	4814	713
871	4818	707
872	4824	701
873	4829	696
874	4833	690
875	4840	685
876	4845	679
877	4851	674
878	4856	668
879	4861	662
880	4865	657
881	4870	651
882	4874	645
883	4878	640
884	4883	634
885	4888	628
886	4892	623
887	4896	617
888	4901	612
889	4906	606
890	4910	600
891	4915	595
892	4920	589
893	4925	583
894	4929	578
895	4934	572
896	4938	567
897	4943	561
898	4948	555
899	4952	550
900	4956	544
901	4960	538
902	4965	533
903	4969	527
904	4973	522
905	4978	516
906	4983	510
907	4988	505
908	4993	499
909	4997	494
910	5002	488
911	5006	483
912	5011	477
913	5016	471
914	5020	466
915	5025	460
916	5032	455
917	5036	449
918	5042	444
919	5047	438
920	5052	433
921	5058	427
922	5062	422
923	5067	416
924	5072	411
925	5076	405
926	5081	400
927	5085	394
928	5090	389
929	5094	383
930	5098	377
931	5104	372
932	5109	366
933	5113	361
934	5118	355
935	5123	350
936	5127	344
937	5132	339
938	5137	333
939	5141	328
940	5145	322
941	5150	317
942	5154	311
943	5159	306
944	5164	300
945	5169	295
946	5174	289
947	5178	284
948	5183	278
949	5188	273
950	5192	267
951	5198	262
952	5202	256
953	5207	251
954	5212	245
955	5216	240
956	5221	234
957	5226	229
958	5231	223
959	5235	218
960	5241	212
961	5246	207
962	5251	201
963	5256	196
964	5261	190
965	5266	185
966	5270	179
967	5276	174
968	5280	168
969	5285	163
970	5289	157
971	5294	152
972	5298	147
973	5302	141
974	5307	136
975	5312	130
976	5316	125
977	5321	119
978	5327	114
979	5332	108
980	5337	103
981	5342	97
982	5346	92
983	5350	87
984	5355	81
985	5359	76
986	5363	70
987	5368	65
988	5373	59
989	5377	54
990	5382	48
991	5387	43
992	5391	38
993	5395	32
994	5400	27
995	5404	21
996	5409	16
997	5414	10
998	5419	5
999	5423	0
